id,cn_sample_weight,n_reten_time,n_response,n_rb,n_weight_m,n_weight_p,n_peak_type,c_reten_time,c_response,c_rb,c_weight_m,c_weight_p,c_peak_type,time_period,date,c3_c4,minimum_iso_sample_weight,optimal_iso_sample_weight,maximum_iso_sample_weight,iso_sample_weight,d13c_vpdb,Total_C,d15n_air,Total_N,CO2ppm,d13c_atm
GUMO22-150,2.056,2.248,44.038,A,0.022,1.057,Ordnr,3.639,5153.678,A,0.932,45.332,Ordnr,present,2022,c3,1.89,4.41,4.41,2.895,-29.48,1314.64,0.62,31.73,420.94,-8.62
GUMO22-151,3.248,2.229,137.972,A,0.068,2.089,Ordnr,3.533,7476.39,A,1.373,42.274,Ordnr,present,2022,c3,0.96,4.73,4.73,3.743,-26.69,1589.84,0.15,86.27,420.94,-8.62
GUMO22-152,2.132,2.239,106.096,A,0.052,2.45,Ordnr,3.648,4961.594,A,0.896,42.034,Ordnr,present,2022,c3,0.82,4.08,4.76,3.273,-28.72,1361.82,2.23,58.26,420.94,-8.62
GUMO22-153,1.862,2.235,41.317,A,0.02,1.095,Ordnr,3.645,4295.714,A,0.773,41.493,Ordnr,present,2022,c3,1.83,4.82,4.82,4.232,-30.19,1745.13,0.88,48.94,420.94,-8.62
GUMO22-154,2.191,2.233,216.952,A,0.106,4.853,Ordnr,3.641,4998.236,A,0.903,41.214,Ordnr,present,2022,c3,0.49,2.06,3.09,2.492,-28.58,1006.03,-0.59,122.86,420.94,-8.62
GUMO22-155,2.98,2.256,205.307,A,0.101,3.378,Ordnr,3.572,7026.726,A,1.287,43.173,Ordnr,present,2022,c3,0.59,2.96,4.44,3.283,-29.9,1407.03,1.96,112,420.94,-8.62
GUMO22-160,3.194,2.249,174.572,A,0.086,2.684,Ordnr,3.548,8120.764,A,1.498,46.9,Ordnr,present,2022,c3,0.75,3.73,4.26,2.985,-25.68,1387.37,-3.19,82.84,420.94,-8.62
GUMO22-164,2.76,2.249,38.852,A,0.019,0.695,Ordnr,3.6,5973.98,A,1.086,39.354,Ordnr,present,2022,c3,2.9,5.08,5.08,4.42,-29.62,1729.4,-1.84,33.9,420.94,-8.62
GUMO22-166,3.009,2.233,81.614,A,0.04,1.337,Ordnr,3.544,6834.924,A,1.25,41.536,Ordnr,present,2022,c3,1.49,4.81,4.81,2.944,-28.13,1222.26,-0.65,37.73,420.94,-8.62
GUMO22-167,2.581,2.239,94.672,A,0.047,1.807,Ordnr,3.579,5947.917,A,1.081,41.892,Ordnr,present,2022,c3,1.1,4.77,4.77,3.215,-25.71,1344.13,-1.25,62.83,420.94,-8.62
GUMO22-168,2.024,2.237,104.872,A,0.052,2.551,Ordnr,3.639,5090.961,A,0.92,45.469,Ordnr,present,2022,c3,0.78,3.92,4.4,3.768,-28.88,1694.02,-0.1,98.28,420.94,-8.62
GUMO22-169,2.516,2.245,44.124,A,0.022,0.866,Ordnr,3.601,5561.23,A,1.008,40.079,Ordnr,present,2022,c3,2.3,4.99,4.99,3.1,-29.79,1249.78,-2.96,32.42,420.94,-8.62
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
